i,x,y,z
116,0.823501,-0.663634,-0.935210
117,0.963795,-0.828076,-0.986916
118,0.997989,-0.941031,-0.999276
119,0.922318,-0.995479,-0.971798
120,0.745113,-0.988032,-0.905578
121,0.485881,-0.919154,-0.803256
122,0.173161,-0.793127,-0.668910
123,-0.158623,-0.617788,-0.507897
124,-0.472944,-0.404038,-0.326635
125,-0.735200,-0.165166,-0.132352
126,-0.916522,0.083974,0.067208
127,-0.996946,0.327894,0.264089
128,-0.967621,0.551427,0.450441
129,-0.831775,0.740674,0.618835
130,-0.604361,0.883870,0.762558
131,-0.310416,0.972112,0.875881
132,0.017702,0.999912,0.954285
133,0.343871,0.965542,0.994645
134,0.632185,0.871140,0.995351
135,0.850904,0.722574,0.956376
136,0.975950,0.529083,0.879273
137,0.993557,0.302695,0.767116
138,0.901788,0.057487,0.624377
139,0.710745,-0.191294,0.456746
140,0.441458,-0.428183,0.270906
141,0.123573,-0.638449,0.074265
142,-0.207916,-0.809019,-0.125336
143,-0.516516,-0.929288,-0.319940
144,-0.768255,-0.991779,-0.501789
145,-0.935419,-0.992606,-0.663634
146,-0.999607,-0.931717,-0.799021
147,-0.953753,-0.812899,-0.902555
148,-0.802903,-0.643538,-0.970106
149,-0.563665,-0.434166,-0.998982
150,-0.262375,-0.197799,-0.988032
151,0.067799,0.050866,-0.937692
152,0.390509,0.296369,-0.849969
153,0.670229,0.523444,-0.728361
154,0.876167,0.717975,-0.577715
155,0.985650,0.867865,-0.404038
156,0.986628,0.963795,-0.214253
157,0.878991,0.999802,-0.015926
158,0.674589,0.973645,0.183036
159,0.395925,0.886953,0.374700
160,0.073675,0.745113,0.551427
161,-0.256686,0.556946,0.706169
162,-0.558789,0.334151,0.832759
163,-0.799377,0.090580,0.926150
164,-0.951965,-0.158623,0.982618
165,-0.999755,-0.397963,0.999912
166,-0.937486,-0.612560,0.977343
167,-0.772012,-0.789071,0.915810
168,-0.521551,-0.916522,0.817766
169,-0.213674,-0.986987,0.687121
170,0.117725,-0.996087,0.529083
171,0.436165,-0.943254,0.349951
172,0.706589,-0.831775,0.156869
173,0.899227,-0.668580,-0.042468
174,0.992873,-0.463816,-0.240112
175,0.977217,-0.230214,-0.428183
176,0.853983,0.017702,-0.599183
177,0.636738,0.264517,-0.746297
178,0.349397,0.494885,-0.863657
179,0.023592,0.694484,-0.946587
180,-0.304811,0.850904,-0.991779
181,-0.599657,0.954418,-0.997432
182,-0.828490,0.998591,-0.963320
183,-0.966118,0.980676,-0.890804
184,-0.997389,0.901788,-0.782775
185,-0.918862,0.766831,-0.643538
186,-0.739181,0.584197,-0.478646
187,-0.478126,0.365239,-0.294672
188,-0.164436,0.123573,-0.098950
189,0.167356,-0.125776,0.100717
190,0.480724,-0.367305,0.296369
191,0.741171,-0.585997,0.480205
192,0.920026,-0.768255,0.644897
193,0.997599,-0.902746,0.783879
194,0.965349,-0.981108,0.891610
195,0.826829,-0.998471,0.963795
196,0.597286,-0.953753,0.997557
197,0.301990,-0.849735,0.991550
198,-0.026551,-0.692885,0.946013
199,-0.352169,-0.492955,0.862761
200,-0.639018,-0.262375,0.745113
201,-0.855520,-0.015482,0.597760
202,-0.977841,0.232374,0.426577
203,-0.992515,0.465781,0.238387
204,-0.897928,0.670229,0.040693
205,-0.704491,0.833005,-0.158623
206,-0.433499,0.943989,-0.351615
207,-0.114785,0.996280,-0.530589
208,0.216565,0.986628,-0.688411
209,0.524075,0.915631,-0.818787
210,0.773891,0.787705,-0.916522
211,0.938512,0.610804,-0.977717
212,0.999816,0.395925,-0.999934
213,0.951055,0.156430,-0.982287
214,0.797595,-0.092791,-0.925479
215,0.556331,-0.336243,-0.831775
216,0.253823,-0.558789,-0.704911
217,-0.076627,-0.746592,-0.549944
218,-0.398642,-0.887976,-0.373053
219,-0.676772,-0.974149,-0.181289
220,-0.880399,-0.999755,0.017702
221,-0.987106,-0.963201,0.215987
222,-0.985146,-0.866760,0.405662
223,-0.874736,-0.716427,0.579164
224,-0.668029,-0.521551,0.729577
225,-0.387782,-0.294247,0.850904
226,-0.064845,-0.048649,0.938307
227,0.265231,0.199975,0.988304
228,0.566108,0.436165,0.998900
229,0.804664,0.645236,0.969673
230,0.954638,0.814190,0.901788
231,0.999520,0.932521,0.797952
232,0.934369,0.992873,0.662304
233,0.766356,0.991492,0.500252
234,0.513978,0.928466,0.318257
235,0.205019,0.807712,0.123573
236,-0.126510,0.636738,-0.076037
237,-0.444113,0.426175,-0.272615
238,-0.712824,0.189115,-0.458325
239,-0.903064,-0.059704,-0.625764
240,-0.993889,-0.304811,-0.768255
241,-0.975300,-0.530966,-0.880118
242,-0.849345,-0.724108,-0.956893
243,-0.629888,-0.872228,-0.995521
244,-0.341090,-0.966118,-0.994460
245,-0.014742,-0.999939,-0.953753
246,0.313229,-0.971589,-0.875023
247,0.606717,-0.882830,-0.761408
248,0.833415,-0.739181,-0.617439
249,0.968364,-0.549573,-0.448854
250,0.996711,-0.325796,-0.262375
251,0.915333,-0.081762,-0.065436
252,0.733190,0.167356,0.134112
253,0.470333,0.406068,0.328313
254,0.155699,0.619532,0.509426
255,-0.176076,0.794478,0.670229
256,-0.488467,0.920026,0.804312
257,-0.747084,0.988372,0.906330
258,-0.923458,0.995265,0.972216
259,-0.998173,0.940278,0.999342
260,-0.963002,0.826829,0.986628
261,-0.821818,0.661971,0.934579
262,-0.590163,0.455956,0.845273
263,-0.293540,0.221591,0.722267
264,0.035398,-0.026551,0.570468
265,0.360440,-0.273042,0.395925
266,0.645801,-0.502557,0.205598
267,0.860069,-0.700826,0.007075
268,0.979656,-0.855520,-0.191730
269,0.991396,-0.957022,-0.382892
270,0.893997,-0.999021,-0.558789
271,0.698181,-0.978906,-0.712409
272,0.425505,-0.897928,-0.837627
273,0.105988,-0.761120,-0.929452
274,-0.225198,-0.576990,-0.984223
275,-0.531593,-0.356985,-0.999755
276,-0.779466,-0.114785,-0.975431
277,-0.941531,0.134552,-0.912219
278,-0.999947,0.375524,-0.812640
279,-0.948282,0.593147,-0.680663
280,-0.792225,0.773891,-0.521551
281,-0.548955,0.906518,-0.341646
282,-0.245252,0.982782,-0.148121
283,0.085449,0.997942,0.051310
284,0.406744,0.951055,0.248695
285,0.683262,0.845035,0.436165
286,0.884562,0.686476,0.606246
287,0.988484,0.485234,0.752159
288,0.983588,0.253823,0.868085
289,0.870412,0.006631,0.949404
290,0.661416,-0.240974,0.992873
291,0.379608,-0.473596,0.996759
292,0.056010,-0.676772,0.960907
293,-0.273754,-0.837870,0.886747
294,-0.573382,-0.946873,0.777236
295,-0.809888,-0.997004,0.636738
296,-0.957237,-0.985146,0.470856
297,-0.999207,-0.912037,0.286202
298,-0.931178,-0.782222,0.090138
299,-0.760640,-0.603771,-0.109519
300,-0.506366,-0.387782,-0.304811
301,-0.196348,-0.147682,-0.487950
302,0.135286,0.101601,-0.651636
303,0.452026,0.344566,-0.789344
304,0.719004,0.566108,-0.895583
305,0.906830,0.752452,-0.966118
306,0.994827,0.892012,-0.998137
307,0.973307,0.976111,-0.990363
308,0.844639,0.999520,-0.943107
309,0.622989,0.960784,-0.858252
310,0.332756,0.862311,-0.739181
311,0.005891,0.710224,-0.590641
312,-0.321622,0.513978,-0.418554
313,-0.613730,0.285776,-0.229781
314,-0.838274,0.039806,-0.031848
315,-0.970535,-0.208640,0.167356
316,-0.995955,-0.444113,0.359887
317,-0.911733,-0.651973,0.538071
318,-0.727143,-0.819297,0.694804
319,-0.462504,-0.935681,0.823837
320,-0.146949,-0.993889,0.920026
321,0.184782,-0.990301,0.979537
322,0.496171,-0.925142,0.999996
323,0.752939,-0.802461,0.980589
324,0.926819,-0.629888,0.922089
325,0.998668,-0.418151,0.826829
326,0.960579,-0.180416,0.698605
327,0.816743,0.068537,0.542530
328,0.582995,0.313229,0.364826
329,0.285067,0.538445,0.172577
330,-0.044243,0.730184,-0.026551
331,-0.368682,0.876523,-0.224621
332,-0.652534,0.968364,-0.413736
333,-0.864551,0.999998,-0.586357
334,-0.981394,0.969456,-0.735602
335,-0.990198,0.878638,-0.855520
336,-0.889996,0.733190,-0.941332
337,-0.691817,0.542157,-0.989615
338,-0.417479,0.317414,-0.998446
339,-0.097182,0.072937,-0.967472
340,0.233813,-0.176076,-0.897928
341,0.539069,-0.414141,-0.792586
342,0.784980,-0.626456,-0.655646
343,0.944477,-0.799822,-0.492568
344,0.999999,-0.923458,-0.309853
345,0.945435,-0.989679,-0.114785
346,0.786792,-0.994366,0.084859
347,0.541535,-0.937228,0.281121
348,0.236661,-0.821818,0.466174
349,-0.094265,-0.655311,0.632643
350,-0.414814,-0.448060,0.773891
351,-0.689698,-0.212951,0.884285
352,-0.888656,0.035398,0.959427
353,-0.989785,0.281547,0.996318
354,-0.981952,0.510190,0.993490
355,-0.866020,0.707112,0.951055
356,-0.654752,0.860069,0.870704
357,-0.371404,0.959552,0.755640
358,-0.047170,0.999374,0.610452
359,0.282257,0.977060,0.440927
360,0.580611,0.893997,0.253823
361,0.815048,0.755349,0.056601
362,0.959760,0.569738,-0.142878
363,0.998815,0.348703,-0.336661
364,0.927915,0.105988,-0.517023
365,0.754864,-0.143318,-0.676772
366,0.498713,-0.383712,-0.809540
367,0.187661,-0.600250,-0.910035
368,-0.144050,-0.779466,-0.974250
369,-0.459903,-0.910219,-0.999624
370,-0.725128,-0.984379,-0.985146
371,-0.910525,-0.997335,-0.931394
372,-0.995687,-0.948282,-0.840510
373,-0.971237,-0.840269,-0.716117
374,-0.839868,-0.680012,-0.563176
375,-0.616040,-0.477476,-0.387782
376,-0.324396,-0.245252,-0.196928
377,0.002961,0.002220,0.001776
378,0.329991,0.249555,0.200410
379,0.620694,0.481373,0.391054
380,0.843067,0.683262,0.566108
381,0.972630,0.842669,0.718593
382,0.995120,0.949682,0.842429
383,0.908061,0.997650,0.932681
384,0.721038,0.983588,0.985750
385,0.454638,0.908371,0.999520
386,0.138188,0.776676,0.973443
387,-0.193473,0.596692,0.908557
388,-0.503837,0.379608,0.807450
389,-0.758734,0.138921,0.674152
390,-0.930106,-0.110402,0.513978
391,-0.999086,-0.352862,0.333314
392,-0.958080,-0.573382,0.139361
393,-0.811603,-0.758252,-0.060147
394,-0.575780,-0.895978,-0.257258
395,-0.276572,-0.977996,-0.444113
396,0.053084,-0.999207,-0.613262
397,0.376895,-0.958292,-0.757962
398,0.659216,-0.857795,-0.872445
399,0.868966,-0.703965,-0.952146
400,0.983055,-0.506366,-0.993889
401,0.988923,-0.277283,-0.996008
402,0.885925,-0.030960,-0.958419
403,0.685398,0.217288,-0.882621
404,0.409419,0.452026,-0.771636
405,0.088369,0.658659,-0.629888
406,-0.242410,0.824340,-0.463028
407,-0.546503,0.938767,-0.277709
408,-0.790433,0.994827,-0.081319
409,-0.947348,0.989033,0.118313
410,-0.999973,0.921745,0.313229
411,-0.942514,0.797148,0.495657
412,-0.781298,0.622989,0.658325
413,-0.534072,0.410094,0.794747
414,-0.228052,0.171702,0.899486
415,0.103073,-0.077365,0.968364
416,0.422852,-0.321622,0.998638
417,0.696080,-0.545883,0.989098
418,0.892680,-0.736203,0.940127
419,0.991008,-0.880749,0.853675
420,0.980240,-0.970535,0.733190
421,0.861561,-0.999978,0.583476
422,0.648036,-0.967247,0.410499
423,0.363171,-0.874377,0.221158
424,0.038327,-0.727143,0.023000
425,-0.290737,-0.534698,-0.176076
426,-0.587795,-0.309008,-0.368131
427,-0.820145,-0.064106,-0.545511
428,-0.962208,0.184782,-0.701142
429,-0.998345,0.422181,-0.828822
430,-0.924579,0.633331,-0.923458
431,-0.749029,0.805103,-0.981280
432,-0.491022,0.926819,-0.999981
433,-0.178959,0.990909,-0.978816
434,0.152804,0.993389,-0.918628
435,0.467745,0.934105,-0.821818
436,0.731194,0.816743,-0.692244
437,0.914149,0.648599,-0.535073
438,0.996469,0.440129,-0.356570
439,0.969092,0.204294,-0.163852
440,0.835030,-0.044243,0.035398
441,0.609044,-0.290029,0.233238
442,0.316010,-0.517783,0.421778
443,-0.011812,-0.713343,0.593504
444,-0.338333,-0.864551,0.741569
445,-0.627609,-0.962006,0.860069
446,-0.847794,-0.999648,0.944282
447,-0.974649,-0.975136,0.990849
448,-0.994208,-0.889996,0.997914
449,-0.904319,-0.749519,0.965195
450,-0.714876,-0.562441,0.893997
451,-0.446736,-0.340394,0.787158
452,-0.129417,-0.097182,0.648937
453,0.202150,0.152072,0.484846
454,0.511463,0.391871,0.301425
455,0.764470,0.607305,0.105988
456,0.933321,0.784980,-0.093676
457,0.999425,0.913849,-0.289604
458,0.955507,0.985899,-0.473987
459,0.806401,0.996651,-0.639473
460,0.568521,0.945435,-0.779466
461,0.268055,0.835437,-0.888384
462,-0.061920,0.673496,-0.961885
463,-0.385079,0.469680,-0.997038
464,-0.665846,0.236661,-0.992443
465,-0.873312,-0.011072,-0.948282
466,-0.984639,-0.258116,-0.866316
467,-0.987571,-0.489112,-0.749813
468,-0.881785,-0.689698,-0.603417
469,-0.678926,-0.847401,-0.432965
470,-0.401328,-0.952418,-0.245252
471,-0.079549,-0.998217,-0.047761
472,0.250988,-0.981952,0.151633
473,0.553894,-0.904634,0.344983
474,0.795824,-0.771071,0.524579
475,0.950145,-0.589566,0.683262
476,0.999868,-0.371404,0.814705
477,0.939520,-0.130151,0.913669
478,0.775743,0.119195,0.976207
479,0.526568,0.361130,0.999827
480,0.219425,0.580611,0.983588
481,-0.111873,0.763993,0.928135
482,-0.430856,0.899873,0.835681
483,-0.702408,0.979804,0.709911
484,-0.896634,0.998815,0.555839
485,-0.992153,0.955725,0.379608
486,-0.978450,0.853212,0.188242
487,-0.857034,0.697651,-0.010628
488,-0.641269,0.498713,-0.209074
489,-0.354910,0.268768,-0.399185
490,-0.029480,0.022112,-0.573382
491,0.299195,-0.225919,-0.724720
492,0.594933,-0.459903,-0.847166
493,0.825177,-0.665293,-0.935837
494,0.964581,-0.829318,-0.987200
495,0.997797,-0.941780,-0.999207
496,0.921170,-0.995687,-0.971378
497,0.743135,-0.987687,-0.904823
498,0.483292,-0.918277,-0.802196
499,0.170244,-0.791773,-0.667588
500,-0.161545,-0.616040,-0.506366
501,-0.475550,-0.402006,-0.324956
502,-0.737204,-0.162976,-0.130591
503,-0.917702,0.086187,0.068980
504,-0.997173,0.329991,0.265801
505,-0.966870,0.553278,0.452026
506,-0.830128,0.742164,0.620229
507,-0.602000,0.884907,0.763706
508,-0.307600,0.972630,0.876737
509,0.020662,0.999880,0.954815
510,0.346649,0.964962,0.994827
511,0.634476,0.870048,0.995178
512,0.852455,0.721038,0.955855
513,0.976591,0.527197,0.878426
514,0.993218,0.300578,0.765976
515,0.900505,0.055271,0.622989
516,0.708659,-0.193473,0.455165
517,0.438800,-0.430188,0.269195
518,0.120635,-0.640156,0.072494
519,-0.210811,-0.810322,-0.127098
520,-0.519049,-0.930106,-0.321622
521,-0.770146,-0.992061,-0.503325
522,-0.936462,-0.992334,-0.664962
523,-0.999686,-0.930908,-0.800088
524,-0.952859,-0.811603,-0.903318
525,-0.801135,-0.641837,-0.970535
526,-0.561217,-0.432164,-0.999060
527,-0.259517,-0.195622,-0.987756
528,0.070752,0.053084,-0.937073
529,0.393233,0.298488,-0.849032
530,0.672423,0.525335,-0.727143
531,0.877590,0.719518,-0.576264
532,0.986146,0.868966,-0.402412
533,0.986141,0.964385,-0.212517
534,0.877575,0.999844,-0.014150
535,0.672401,0.973137,0.184782
536,0.393205,0.885925,0.376347
537,0.070722,0.743630,0.552908
538,-0.259546,0.555101,0.707426
539,-0.561242,0.332058,0.833742
540,-0.801153,0.088369,0.926819
541,-0.952868,-0.160815,0.982946
542,-0.999685,-0.399999,0.999887
543,-0.936451,-0.614314,0.976965
544,-0.770127,-0.790433,0.915095
545,-0.519023,-0.917407,0.816743
546,-0.210781,-0.987342,0.685829
547,0.120665,-0.995888,0.527575
548,0.438827,-0.942514,0.348287
549,0.708680,-0.830540,0.155114
550,0.900518,-0.666927,-0.044243
551,0.993221,-0.461847,-0.241836
552,0.976584,-0.228052,-0.429787
553,0.852439,0.019922,-0.600605
554,0.634452,0.266657,-0.747478
555,0.346621,0.496814,-0.864551
556,0.020632,0.696080,-0.947158
557,-0.307629,0.852068,-0.992005
558,-0.602024,0.955078,-0.997303
559,-0.830144,0.998706,-0.962842
560,-0.966878,0.980240,-0.889996
561,-0.997171,0.900827,-0.781668
562,-0.917690,0.765404,-0.642178
563,-0.737184,0.582393,-0.477086
564,-0.475524,0.363171,-0.292974
565,-0.161515,0.121369,-0.097182
566,0.170274,-0.127979,0.102484
567,0.483318,-0.369370,0.298065
568,0.743156,-0.587795,0.481762
569,0.921182,-0.769674,0.646253
570,0.997799,-0.903699,0.784980
571,0.964573,-0.981536,0.892413
572,0.825160,-0.998345,0.964268
573,0.594909,-0.953083,0.997680
574,0.299166,-0.848562,0.991318
575,-0.029511,-0.691282,0.945435
576,-0.354938,-0.491022,0.861861
577,-0.641292,-0.260232,0.743927
578,-0.857049,-0.013262,0.596335
579,-0.978457,0.234533,0.424969
580,-0.992150,0.467745,0.236661
581,-0.896621,0.671875,0.038918
582,-0.702386,0.834232,-0.160376
583,-0.430829,0.944719,-0.353277
584,-0.111843,0.996469,-0.532094
585,0.219455,0.986263,-0.689698
586,0.526594,0.914736,-0.819806
587,0.775762,0.786335,-0.917231
588,0.939530,0.609044,-0.978088
589,0.999869,0.393885,-0.999953
590,0.950136,0.154237,-0.981952
591,0.795806,-0.095002,-0.924804
592,0.553869,-0.338333,-0.830787
593,0.250959,-0.560629,-0.703650
594,-0.079579,-0.748068,-0.548460
595,-0.401355,-0.888995,-0.371404
596,-0.678949,-0.974649,-0.179542
597,-0.881799,-0.999704,0.019478
598,-0.987575,-0.962602,0.217721
599,-0.984634,-0.865650,0.407285
600,-0.873297,-0.714876,0.580611
601,-0.665823,-0.519655,0.730790
602,-0.385051,-0.292124,0.851835
603,-0.061890,-0.046431,0.938920
604,0.268084,0.202150,0.988573
605,0.568546,0.438162,0.998815
606,0.806418,0.646931,0.969237
607,0.955516,0.815477,0.901019
608,0.999424,0.933321,0.796880
609,0.933310,0.993135,0.660972
610,0.764451,0.991201,0.498713
611,0.511437,0.927639,0.316572
612,0.202120,0.806401,0.121810
613,-0.129447,0.635024,-0.077808
614,-0.446763,0.424165,-0.274324
615,-0.714898,0.186934,-0.459903
616,-0.904331,-0.061920,-0.627148
617,-0.994211,-0.306925,-0.769391
618,-0.974642,-0.532846,-0.880960
619,-0.847778,-0.725637,-0.957408
620,-0.627586,-0.873312,-0.995687
621,-0.338305,-0.966688,-0.994271
622,-0.011782,-0.999961,-0.953217
623,0.316039,-0.971061,-0.874161
624,0.609068,-0.881785,-0.760255
625,0.835047,-0.737683,-0.616040
626,0.969099,-0.547717,-0.447266
627,0.996467,-0.323696,-0.260660
628,0.914137,-0.079549,-0.063663
629,0.731174,0.169544,0.135872
630,0.467719,0.408096,0.329991
631,0.152774,0.621274,0.510954
632,-0.178989,0.795824,0.671546
633,-0.491048,0.920894,0.805367
634,-0.749049,0.988707,0.907080
635,-0.924590,0.995047,0.972630
636,-0.998347,0.939520,0.999405
637,-0.962200,0.825578,0.986337
638,-0.820127,0.660305,0.933946
639,-0.587771,0.453978,0.844322
640,-0.290708,0.219425,0.721038
641,0.038357,-0.028771,0.569008
642,0.363199,-0.275178,0.394293
643,0.648059,-0.504476,0.203860
644,0.861576,-0.702408,0.005299
645,0.980246,-0.856668,-0.193473
646,0.991004,-0.957664,-0.384532
647,0.892666,-0.999117,-0.560261
648,0.696058,-0.978450,-0.713654
649,0.422824,-0.896948,-0.838596
650,0.103043,-0.759678,-0.930106
651,-0.228082,-0.575175,-0.984535
652,-0.534098,-0.354910,-0.999714
653,-0.781317,-0.112579,-0.975038
654,-0.942525,0.136752,-0.911490
655,-0.999973,0.377581,-0.811603
656,-0.947338,0.594933,-0.679361
657,-0.790415,0.775295,-0.520035
658,-0.546478,0.907453,-0.339976
659,-0.242381,0.983190,-0.146364
660,0.088399,0.997797,0.053084
661,0.409447,0.950366,0.250415
662,0.685420,0.843846,0.437763
663,0.885939,0.684859,0.607658
664,0.988928,0.483292,0.753328
665,0.983049,0.251675,0.868966
666,0.868951,0.004411,0.949960
667,0.659193,-0.243128,0.993083
668,0.376867,-0.475550,0.996614
669,0.053053,-0.678405,0.960414
670,-0.276601,-0.839080,0.885925
671,-0.575805,-0.947585,0.776117
672,-0.811621,-0.997173,0.635367
673,-0.958089,-0.984763,0.469288
674,-0.999085,-0.911124,0.284499
675,-0.930095,-0.780836,0.088369
676,-0.758715,-0.602000,-0.111285
677,-0.503811,-0.385734,-0.306502
678,-0.193444,-0.145485,-0.489500
679,0.138218,0.103809,-0.652983
680,0.454665,0.346649,-0.790433
681,0.721059,0.567937,-0.896372
682,0.908074,0.753912,-0.966575
683,0.995123,0.893013,-0.998243
684,0.972623,0.976591,-0.990115
685,0.843051,0.999449,-0.942514
686,0.620670,0.960166,-0.857339
687,0.329962,0.861185,-0.737983
688,0.002930,0.708659,-0.589207
689,-0.324424,0.512073,-0.416941
690,-0.616064,0.283648,-0.228052
691,-0.839884,0.037587,-0.030072
692,-0.971244,-0.210811,0.169107
693,-0.995684,-0.446101,0.361544
694,-0.910513,-0.653655,0.539567
695,-0.725107,-0.820568,0.696080
696,-0.459877,-0.936462,0.824842
697,-0.144020,-0.994131,0.920721
698,0.187690,-0.989990,0.979893
699,0.498739,-0.924297,1.000000
700,0.754884,-0.801135,0.980240
701,0.927926,-0.628162,0.921401
702,0.998817,-0.416133,0.825828
703,0.959751,-0.178231,0.697333
704,0.815031,0.070752,0.541037
705,0.580587,0.315337,0.363171
706,0.282228,0.540315,0.170827
707,-0.047200,0.731699,-0.028327
708,-0.371432,0.877590,-0.226352
709,-0.654775,0.968916,-0.415353
710,-0.866035,1.000000,-0.587795
711,-0.981958,0.968909,-0.736804
712,-0.989780,0.877575,-0.856438
713,-0.888642,0.731679,-0.941930
714,-0.689676,0.540290,-0.989869
715,-0.414787,0.315308,-0.998345
716,-0.094235,0.070722,-0.967021
717,0.236691,-0.178261,-0.897144
718,0.541560,-0.416161,-0.791502
719,0.786811,-0.628185,-0.654304
720,0.945445,-0.801153,-0.491022
721,0.999999,-0.924308,-0.308164
722,0.944467,-0.989995,-0.113020
723,0.784962,-0.994128,0.086629
724,0.539043,-0.936451,0.282825
725,0.233784,-0.820551,0.467745
726,-0.097212,-0.653632,0.634018
727,-0.417506,-0.446074,0.775014
728,-0.691839,-0.210781,0.885114
729,-0.890009,0.037617,0.959926
730,-0.990202,0.283677,0.996469
731,-0.981388,0.512098,0.993286
732,-0.864536,0.708680,0.950504
733,-0.652511,0.861200,0.869829
734,-0.368654,0.960174,0.754476
735,-0.044213,0.999450,0.609044
736,0.285096,0.976584,0.439332
737,0.583019,0.893000,0.252105
738,0.816760,0.753892,0.054827
739,0.960587,0.567912,-0.144636
740,0.998667,0.346621,-0.338333
741,0.926807,0.103779,-0.518542
742,0.752919,-0.145515,-0.678079
743,0.496145,-0.385762,-0.810582
744,0.184752,-0.602024,-0.910770
745,-0.146979,-0.780855,-0.974649
746,-0.462530,-0.911136,-0.999671
747,-0.727163,-0.984768,-0.984840
748,-0.911745,-0.997171,-0.930746
749,-0.995957,-0.947575,-0.839546
750,-0.970528,-0.839063,-0.714876
751,-0.838257,-0.678383,-0.561707
752,-0.613706,-0.475524,-0.386144
753,-0.321594,-0.243099,-0.195186
754,0.005921,0.004441,0.003553
755,0.332784,0.251704,0.202150
